"id","RTO","Location","state"
"2470","CH01","RLA,CHANDIGARH","CH:Chandigarh"
"2471","CG04","RTO,RAIPUR","CG:ChattisGarh"
"2472","CG05","DTO,DHAMTARI","CG:ChattisGarh"
"2473","CG06","DTO,MAHASAMUND","CG:ChattisGarh"
"2474","CG07","ADDL.RTO,DURG","CG:ChattisGarh"
"2475","CG08","ADDL.RTO,RAJNANDGAON","CG:ChattisGarh"
"2476","CG09","DTO,KABIRDHAM","CG:ChattisGarh"
"2477","CG10","RTO,BILASHPUR","CG:ChattisGarh"
"2478","CG11","DTO,JANGIR_CHAMPA","CG:ChattisGarh"
"2479","CG12","ADDL.RTO,KORBA","CG:ChattisGarh"
"2480","CG13","ADDL.RTO,RAIGARH","CG:ChattisGarh"
"2481","CG14","DTO,JASHPUR","CG:ChattisGarh"
"2482","CG15","ADDL.RTO,AMBIKAPUR","CG:ChattisGarh"
"2483","CG16","DTO,BAIKUNTHPUR","CG:ChattisGarh"
"2484","CG17","RTO,JAGDALPUR","CG:ChattisGarh"
"2485","CG18","DTO,DANTEWADA","CG:ChattisGarh"
"2486","CG19","DTO,KANKER","CG:ChattisGarh"
"2487","CG22","DTO,BALODABAZAR","CG:ChattisGarh"
"2488","CG23","DTO,GARIYABAND","CG:ChattisGarh"
"2489","CG24","DTO,BALOD","CG:ChattisGarh"
"2490","CG25","DTO,BEMETARA","CG:ChattisGarh"
"2491","CG26","DTO,SUKMA","CG:ChattisGarh"
"2492","CG27","DTO,KONDAGAON","CG:ChattisGarh"
"2493","CG28","DTO,MUNGELI","CG:ChattisGarh"
"2494","CG29","DTO,SURAJPUR","CG:ChattisGarh"
"2495","CG30","DTO,BALRAMPUR","CG:ChattisGarh"
"2496","DN09","RLA, SILVASSA, DNH UT","DN:Dadra &amp; Nagar Haveli"
"2497","DD02","RTO,DIU","DD:Daman and Diu"
"2498","DD03","RTO,DAMAN","DD:Daman and Diu"
"2762","KA01","RTO,KORAMANGALA","KA:Karnataka"
"2763","KA02","RTO,BANGALORE (WEST)","KA:Karnataka"
"2764","KA03","RTO,BANGALORE (EAST)","KA:Karnataka"
"2765","KA04","RTO,BANGALORE (NORTH)","KA:Karnataka"
"2766","KA05","RTO,BANGALORE (SOUTH)","KA:Karnataka"
"2767","KA06","RTO,TUMKUR","KA:Karnataka"
"2768","KA07","RTO,KOLAR","KA:Karnataka"
"2769","KA08","RTO,CORMONDAL","KA:Karnataka"
"2770","KA09","RTO,MYSORE","KA:Karnataka"
"2771","KA10","RTO,CHAMARAJ NAGAR","KA:Karnataka"
"2772","KA11","RTO,MANDYA","KA:Karnataka"
"2773","KA12","RTO,MADEIKERI","KA:Karnataka"
"2774","KA13","RTO,HASSAN","KA:Karnataka"
"2775","KA14","RTO,SHIMOGA","KA:Karnataka"
"2776","KA15","ASST.RTO,SAGAR","KA:Karnataka"
"2777","KA16","RTO,CHITRADURGA","KA:Karnataka"
"2778","KA17","RTO,DAVANAGERE","KA:Karnataka"
"2779","KA18","RTO,CHICKMAGALUR","KA:Karnataka"
"2780","KA19","RTO,MANGALORE.","KA:Karnataka"
"2781","KA20","RTO,UDUPI","KA:Karnataka"
"2782","KA21","RTO,PUTTUR","KA:Karnataka"
"2783","KA22","RTO,BELGAUM","KA:Karnataka"
"2784","KA23","RTO,CHIKKODI","KA:Karnataka"
"2785","KA24","ASST.RTO,BAILAHONGALA","KA:Karnataka"
"2786","KA25","RTO,DHARWAD","KA:Karnataka"
"2787","KA26","RTO,GADAG","KA:Karnataka"
"2788","KA27","RTO,HAVERI","KA:Karnataka"
"2789","KA28","RTO,BIJAPUR","KA:Karnataka"
"2790","KA29","RTO,BAGALKOT","KA:Karnataka"
"2791","KA30","RTO,KARWAR","KA:Karnataka"
"2792","KA31","RTO,SIRSI","KA:Karnataka"
"2793","KA32","RTO,GULBARGA","KA:Karnataka"
"2794","KA33","RTO,YADAGIRI","KA:Karnataka"
"2795","KA34","RTO,BELLARY","KA:Karnataka"
"2796","KA35","RTO,HOSPET","KA:Karnataka"
"2797","KA36","RTO,RAICHUR","KA:Karnataka"
"2798","KA37","RTO,KOPPAL","KA:Karnataka"
"2799","KA38","RTO,BIDAR","KA:Karnataka"
"2800","KA39","ASST.RTO,BHALKI","KA:Karnataka"
"2801","KA40","RTO,CHIKKABALLAPURA","KA:Karnataka"
"2802","KA41","RTO,BANGALORE","KA:Karnataka"
"2803","KA42","RTO,RAMANAGARA","KA:Karnataka"
"2804","KA43","ASST.RTO,DEVENAHALLI","KA:Karnataka"
"2805","KA44","ASST.RTO,TIPTUR","KA:Karnataka"
"2806","KA45","ASST.RTO,HUNSUR","KA:Karnataka"
"2807","KA46","ASST.RTO,SAKALESHPURA","KA:Karnataka"
"2808","KA47","ASST.RTO,HONNAVARA","KA:Karnataka"
"2809","KA48","ASST.RTO,JAMAKHANDI","KA:Karnataka"
"2810","KA49","ASST.RTO,GOKAK","KA:Karnataka"
"2811","KA50","RTO,YELAHANKA","KA:Karnataka"
"2812","KA51","RTO,CHENNAKESHAVANAGAR","KA:Karnataka"
"2813","KA52","RTO,NELAMANGALA","KA:Karnataka"
"2814","KA53","RTO, K.R.PURAM","KA:Karnataka"
"2815","KA54","ASST.RTO,NAGAMANGALA","KA:Karnataka"
"2816","KA55","RTO,MYSORE EAST","KA:Karnataka"
"2817","KA56","RTO, BASAVAKALYAN","KA:Karnataka"
"2818","KA64","ARTO MADHUGIRI","KA:Karnataka"
"2819","KA65","ARTO DANDELI","KA:Karnataka"
"2820","KA66","ARTO,TARIKERE,CHICKMAGALUR DISTRICT, KARNATAKA.","KA:Karnataka"
"2821","KL01","RTO,THIRUVANANTHAPURAM","KL:Kerala"
"2822","KL02","RTO,KOLLAM","KL:Kerala"
"2823","KL03","RTO,PATHANAMTHITTA","KL:Kerala"
"2824","KL04","RTO,ALAPPUZHA","KL:Kerala"
"2825","KL05","RTO,KOTTAYAM","KL:Kerala"
"2826","KL06","RTO,IDUKKI","KL:Kerala"
"2827","KL07","RTO,ERNAKULAM","KL:Kerala"
"2828","KL08","RTO,THRISSUR","KL:Kerala"
"2829","KL09","RTO,PALAKKAD","KL:Kerala"
"2830","KL10","RTO,MALAPPURAM","KL:Kerala"
"2831","KL11","RTO,KOZHIKODE","KL:Kerala"
"2832","KL12","RTO,WAYANAD","KL:Kerala"
"2833","KL13","RTO,KANNUR","KL:Kerala"
"2834","KL14","RTO,KASARAGOD","KL:Kerala"
"2835","KL15","RTO-NATIONAL SECTOR","KL:Kerala"
"2836","KL16","RTO,ATTINGAL","KL:Kerala"
"2837","KL17","RTO,MUVATTUPUZHA","KL:Kerala"
"2838","KL18","RTO,VADAKARA","KL:Kerala"
"2839","KL19","SRTO,PARASSALA","KL:Kerala"
"2840","KL20","SRTO,NEYYATTINKARA","KL:Kerala"
"2841","KL21","SRTO,NEDUMANGAD","KL:Kerala"
"2842","KL22","SRTO,KAZHAKUTTOM","KL:Kerala"
