epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41548,1.36852,4.877,1.33209,0.6437,0.36555,0.44851,0.32888,1.46335,9.16206,1.04499,0.00018,0.00018,0.00018
2,5.68509,0.8683,2.25663,1.0702,0.21235,0.7,0.37057,0.3034,1.11828,7.02412,0.88876,0.000369251,0.000369251,0.000369251
3,7.91571,0.94898,1.70691,0.97545,0.6293,0.68056,0.58055,0.40377,1.18946,3.86016,0.89152,0.000547189,0.000547189,0.000547189
4,10.3109,1.00445,1.82358,1.09561,0.65822,0.57973,0.51771,0.39936,1.31129,3.09938,0.9528,0.000713811,0.000713811,0.000713811
5,12.6117,1.00627,2.08177,1.12526,0.19663,0.4,0.13319,0.10552,1.11356,4.99069,0.93274,0.00086912,0.00086912,0.00086912
6,14.8553,0.72256,1.942,0.88767,0.02872,0.9,0.03186,0.02342,1.09416,23.1669,0.93615,0.00101311,0.00101311,0.00101311
7,17.2682,1.21345,1.85181,1.23372,0.02872,0.9,0.03186,0.02342,1.09416,23.1669,0.93615,0.00114579,0.00114579,0.00114579
8,19.5695,1.07101,1.85685,1.04476,0.32751,0.7,0.43539,0.29005,1.30615,6.05754,0.97628,0.00126716,0.00126716,0.00126716
9,21.7938,1.275,1.88867,1.15023,0.38434,0.68734,0.49744,0.30292,1.16142,4.05128,0.99175,0.00137721,0.00137721,0.00137721
10,24.0389,0.92195,3.11126,0.97796,0.38434,0.68734,0.49744,0.30292,1.16142,4.05128,0.99175,0.00147595,0.00147595,0.00147595
11,26.297,1.08871,1.75328,1.05924,0.57335,0.2,0.21088,0.12317,1.33265,2.49212,1.11687,0.00143429,0.00143429,0.00143429
12,28.5252,1.08482,1.70714,1.05639,0.5764,0.7,0.60715,0.3805,1.19237,1.69583,1.12999,0.00137771,0.00137771,0.00137771
13,30.7965,0.98581,1.24458,1.07831,0.5764,0.7,0.60715,0.3805,1.19237,1.69583,1.12999,0.00132114,0.00132114,0.00132114
14,33.0829,1.02456,1.18959,1.094,0.24234,0.4,0.32025,0.21989,1.43377,9.60484,1.10972,0.00126457,0.00126457,0.00126457
15,35.3442,1.06194,1.22832,1.13407,0.93333,0.4,0.51876,0.39429,1.44417,1.83004,1.13945,0.001208,0.001208,0.001208
16,37.5932,0.95861,1.04511,1.13834,0.93333,0.4,0.51876,0.39429,1.44417,1.83004,1.13945,0.00115143,0.00115143,0.00115143
17,39.8771,1.19542,1.16686,1.15777,0.61652,0.48418,0.46979,0.34068,1.50469,1.82438,1.16654,0.00109486,0.00109486,0.00109486
18,42.1503,0.99221,1.28331,1.2279,0.61652,0.48418,0.46979,0.34068,1.50469,1.82438,1.16654,0.00103829,0.00103829,0.00103829
19,44.4219,1.13078,1.15865,1.20825,0.55052,0.61336,0.51515,0.36769,1.32347,1.44992,1.12273,0.000981714,0.000981714,0.000981714
20,46.6903,0.9524,1.13028,1.05631,0.65304,0.8,0.6833,0.47167,1.17515,1.42855,1.05303,0.000925143,0.000925143,0.000925143
21,49.083,0.8692,0.92204,1.02725,0.65304,0.8,0.6833,0.47167,1.17515,1.42855,1.05303,0.000868571,0.000868571,0.000868571
22,51.5954,0.95607,0.94735,1.02619,0.65173,0.8,0.70124,0.48287,1.26162,1.36844,1.05071,0.000812,0.000812,0.000812
23,54.0115,0.90158,0.92478,1.08184,0.84478,0.7,0.74164,0.56115,1.21861,1.2254,1.0231,0.000755429,0.000755429,0.000755429
24,56.3822,0.81889,0.82282,1.03928,0.84478,0.7,0.74164,0.56115,1.21861,1.2254,1.0231,0.000698857,0.000698857,0.000698857
25,58.7458,0.80216,0.83896,1.05027,0.77187,0.8,0.73609,0.60696,1.15701,1.22627,0.98407,0.000642286,0.000642286,0.000642286
26,61.8342,0.77109,0.81475,0.99478,0.77187,0.8,0.73609,0.60696,1.15701,1.22627,0.98407,0.000585714,0.000585714,0.000585714
27,64.2636,0.89468,0.87722,1.06298,0.88763,0.79093,0.77573,0.65549,1.12765,1.22474,0.9808,0.000529143,0.000529143,0.000529143
28,66.6946,0.73523,0.72232,1.00448,0.87109,0.8,0.77727,0.5981,1.10171,1.06697,0.98818,0.000472571,0.000472571,0.000472571
29,68.9842,0.70536,0.67665,0.96911,0.87109,0.8,0.77727,0.5981,1.10171,1.06697,0.98818,0.000416,0.000416,0.000416
30,71.2192,0.70804,0.68169,1.00068,0.8787,0.8,0.77892,0.61438,1.03438,1.00047,0.97804,0.000359429,0.000359429,0.000359429
31,73.5213,0.82758,0.84332,1.1118,0.88163,0.8,0.80704,0.63605,1.01033,0.98093,0.97304,0.000302857,0.000302857,0.000302857
32,75.761,0.66465,0.66672,1.01419,0.88163,0.8,0.80704,0.63605,1.01033,0.98093,0.97304,0.000246286,0.000246286,0.000246286
33,78.017,0.61248,0.5983,0.87271,0.81138,0.9,0.90231,0.61832,1.05384,0.94016,0.97229,0.000189714,0.000189714,0.000189714
34,80.3129,0.71077,0.68669,1.04362,0.81138,0.9,0.90231,0.61832,1.05384,0.94016,0.97229,0.000133143,0.000133143,0.000133143
35,82.6065,0.56197,0.58652,0.96277,0.88175,0.8,0.84055,0.60944,1.0732,0.90775,0.97146,7.65714e-05,7.65714e-05,7.65714e-05
