epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47379,1.36852,4.877,1.33209,0.6437,0.36555,0.44851,0.32888,1.46335,9.16206,1.04499,0.00018,0.00018,0.00018
2,5.72942,0.8684,2.25766,1.07013,0.22512,0.7,0.38003,0.31057,1.11635,6.89174,0.88853,0.00036746,0.00036746,0.00036746
3,7.97787,0.95758,1.74628,0.97732,0.53432,0.7,0.57885,0.41256,1.21703,4.01157,0.90051,0.00054172,0.00054172,0.00054172
4,10.3755,1.01757,1.85441,1.09339,0.59753,0.6,0.53802,0.39889,1.31063,3.33428,0.95113,0.00070278,0.00070278,0.00070278
5,12.6598,0.99473,2.05276,1.12416,0.04522,0.6,0.03478,0.02721,1.14019,8.68286,0.9323,0.00085064,0.00085064,0.00085064
6,14.9092,0.72726,2.00945,0.88931,0.2416,0.6,0.4524,0.36145,1.12057,6.51322,0.98418,0.0009853,0.0009853,0.0009853
7,17.3298,1.20573,1.90786,1.22472,0.2416,0.6,0.4524,0.36145,1.12057,6.51322,0.98418,0.00110676,0.00110676,0.00110676
8,19.5889,1.07835,1.79225,1.05789,0.03413,0.3,0.04322,0.02934,1.38105,12.346,1.05302,0.00121502,0.00121502,0.00121502
9,21.8069,1.20988,1.77002,1.13703,0.411,0.6,0.3377,0.20908,1.24763,3.54722,1.0369,0.00131008,0.00131008,0.00131008
10,24.0206,0.88545,2.89819,0.9506,0.411,0.6,0.3377,0.20908,1.24763,3.54722,1.0369,0.00139194,0.00139194,0.00139194
11,26.2858,1.00581,1.71828,1.04009,0.48046,0.3,0.2341,0.15296,1.41532,2.3869,1.08127,0.00134,0.00134,0.00134
12,28.5064,1.13472,1.77495,1.10323,0.52003,0.5,0.46709,0.32723,1.30393,1.67193,1.03938,0.001274,0.001274,0.001274
13,30.7527,0.97585,1.37651,1.07298,0.52003,0.5,0.46709,0.32723,1.30393,1.67193,1.03938,0.001208,0.001208,0.001208
14,32.9841,0.94593,1.27535,1.01089,0.36615,0.7,0.41743,0.29572,1.39315,5.86292,1.06954,0.001142,0.001142,0.001142
15,35.2049,0.9468,1.27272,1.06845,0.39518,0.6,0.47622,0.3558,1.4075,3.01548,1.02437,0.001076,0.001076,0.001076
16,37.4505,0.91802,1.02482,1.09034,0.39518,0.6,0.47622,0.3558,1.4075,3.01548,1.02437,0.00101,0.00101,0.00101
17,39.6919,1.12575,1.12566,1.14547,0.65679,0.7674,0.6029,0.44007,1.16738,1.66002,1.0113,0.000944,0.000944,0.000944
18,42.0504,0.93047,1.28591,1.09943,0.65679,0.7674,0.6029,0.44007,1.16738,1.66002,1.0113,0.000878,0.000878,0.000878
19,44.3821,1.08775,1.13475,1.20823,0.69824,0.69473,0.68142,0.54107,1.17511,1.25412,0.98605,0.000812,0.000812,0.000812
20,46.7536,0.90818,1.08112,0.98722,0.64637,0.8,0.73432,0.61322,1.12364,1.04515,0.96749,0.000746,0.000746,0.000746
21,50.0772,0.71686,1.04627,0.97617,0.64637,0.8,0.73432,0.61322,1.12364,1.04515,0.96749,0.00068,0.00068,0.00068
22,52.6616,0.85679,1.0933,0.94847,0.79977,0.79895,0.77065,0.62689,1.07938,1.16328,0.97972,0.000614,0.000614,0.000614
23,55.0637,0.76937,0.90985,0.96161,0.85799,0.7,0.80163,0.61887,0.9475,1.18434,0.92602,0.000548,0.000548,0.000548
24,57.2917,0.73554,1.04105,0.89565,0.85799,0.7,0.80163,0.61887,0.9475,1.18434,0.92602,0.000482,0.000482,0.000482
25,59.5668,0.87931,1.11824,1.04594,0.78127,0.8,0.78182,0.60967,0.93337,1.05796,0.9217,0.000416,0.000416,0.000416
26,61.8187,0.65139,0.84809,0.89938,0.78127,0.8,0.78182,0.60967,0.93337,1.05796,0.9217,0.00035,0.00035,0.00035
27,64.0794,0.69547,0.80312,0.93499,0.69983,0.7,0.78161,0.61469,0.97262,1.04831,0.92578,0.000284,0.000284,0.000284
28,66.3436,0.71978,0.79426,0.92197,0.72359,0.78649,0.75806,0.60959,1.00844,0.99982,0.95032,0.000218,0.000218,0.000218
29,68.6146,0.675,0.77471,0.907,0.72359,0.78649,0.75806,0.60959,1.00844,0.99982,0.95032,0.000152,0.000152,0.000152
30,70.8449,0.59152,0.75085,0.88101,0.72461,0.79024,0.76507,0.602,1.0438,0.985,0.97368,8.6e-05,8.6e-05,8.6e-05
